Record ID	PHI_MolConn_ID	IdentifierTypeOfProteinID	ProteinID	IdentifierTypeOfGeneLocusID	GeneLocusID	AA sequence #no EMBL#	NT sequence #no EMBL#	Genomic sequence providing strain	Gene_name	Genome location	Specific modification/s to the targeted protein or promoter	Accession ID for the modified genetic element  	Known interacting protein(s) in the pathogen	Interacting protein - locus ID 	Multiple_mutation	Pathogen_NCBI_species_Taxonomy ID	Pathogen_species	Pathogen_NCBI_strain_Taxonomy_ID	Experimental_strain	Disease_name	Host_descripton	Host_NCBI_Taxonomy_ID	Experimental_host_species	Host_strain_genotype_or cultivar_taxonomy_ID_NCBI	HostGenotype_definedGene of interest	HostGenotype_definedGene of interest _AccessionID	tissue_type	Function	GO_annotation	Database	Pathway_secretion_systems	Phenotype_of_mutant	Mating_defect_prior_to_penetration	Pre_penetration_defect	Penetration_defect	Post_penetration_defect	Disease_development_macroscopically_visible	Vegetative_spores	Sexual_spores	In_vitro_growth	Spore_germination	Essential_gene_Lethal_knockout	Inducer	ChemicalAccession (Chebi/CAS)	Tested Host_target	TestedHostTarget_AccessionID	Interaction phenotype	Host_response	Experimental_evidence	Transient Assay Experimental Evidence	Species_Expert	Entered_by	Literature_ID	Literature_source	DOI	Full_citation	Author_email	Comments	Reference 	Year_published	Curation details	File_name_pdf_files_provided	_batch_no_	Curated(Month/Year)	_curator_organisation_	__lab__	__FG_mycotoxin__	Additional IdentifierTypeOfGeneLocusID	Additional GeneLocusID	Anti-infective (Chemical)	Compound	Target site	Group name	Chemical group	Mode in planta	FRAC CODE	Additional comments  on anti-infectives	phi3_pars											
Record 472	PHI:445	Uniprot	I1RA52	Broad	FG00376			PH-1; NRRL 31084	NOS1							5518	Fusarium graminearum (related: Gibberella zeae)	229533	PH-1	Fusarium ear blight	Monocots	4577	Zea mays (related: Maize)					Ubiquinone oxidoreductase	"GO:0009405, IMP; GO:0044412"	GO		Reduced virulence		No Data	No Data	Yes													gene disruption			TKB; AB; MU; AC	18943005	PubMed	10.1094/PHYTO-95-0744	Seong et al. (2005) PHYTOPATHOLOGY 95(7) 744-750			Seong et al.	2005			PHI-base Vers.3.3		Rres			Broad	FG00376																				
Record 473	PHI:446	Uniprot	I1RA15	Broad	FG00332			PH-1; NRRL 31084	TBL1							5518	Fusarium graminearum (related: Gibberella zeae)	229533	PH-1	Fusarium ear blight	Monocots	4577	Zea mays (related: Maize)					Transducin beta-subunit	"GO:0009405, IMP; GO:0044412"	GO		Reduced virulence		No Data	No Data	Yes													gene disruption			TKB; AB; MU; AC	18943005	PubMed	10.1094/PHYTO-95-0744	Seong et al. (2005) PHYTOPATHOLOGY 95(7) 744-750			Seong et al.	2005			PHI-base Vers.3.3		Rres			Broad	FG00332																				
Record 474	PHI:446	Uniprot	I1RA15	Broad	FG00332			PH-1; NRRL 31084	TBL1							5518	Fusarium graminearum (related: Gibberella zeae)	229533	PH-1	Fusarium ear blight	Monocots	4565	Triticum aestivum (related: Bread wheat)					Transducin beta-subunit	"GO:0009405, IMP; GO:0044412"	GO		Reduced virulence		No Data	No Data	Yes													gene disruption			TKB; AB; MU; AC	18943005	PubMed	10.1094/PHYTO-95-0744	Seong et al. (2005) PHYTOPATHOLOGY 95(7) 744-750			Seong et al.	2005			PHI-base Vers.3.3		Rres			Broad	FG00332																				
Record 475	PHI:2348	Uniprot	I1RA15	Broad	FGSG_00332  			PH-1	FTL1 (TBL1)							5518	Fusarium graminearum (related: Gibberella zeae)	229533	PH-1	Fusarium ear blight	Monocots	4564	Triticum (related: Wheat)	Norm			ear	transducin-beta-like gene acting as a component of the Set3 complex involved in late stages of ascospore formation				reduced virulence						reduced				no							Gene deletion: partial		MU	MU	19377037	PubMed	10.1128/EC.00048-09		jinrong@purdue.edu	update of PHI:446	Ding	2009					MU	"Xu, X. R."		Broad	FGSG_00332  																				
Record 476	PHI:447			EMBL	CAI48090 			ATCC 46645	MCSA							746128	Aspergillus fumigatus			Aspergillosis	Moths	7137	Galleria mellonella (related: Greater wax moth)					Methylcitrate synthase	"GO:0009405, IMP; GO:0050440"	GO		Reduced virulence																	gene deletion			TKB; MU	16008561	PubMed	10.1111/j.1742-4658.2005.04784.x					2005			PHI-base Vers.3.3		Rres																								
Record 477	PHI:448	Uniprot	F5HEA9	Broad	SNOG_03299				MAK2							13684	Parastagonospora nodorum			Glume blotch	Monocots	4564	Triticum (related: Wheat)					MAP kinase	"GO:0009405, IMP; GO:0044409; GO:0044412"	GO		Loss of pathogenicity 		Yes	Yes	Yes		No sporulation		"Reduced by 20% on solid media, 30% in liquid culture"									gene disruption		RO	TKB; AC	16028107	PubMed	10.1007/s00294-005-0588-y	Solomon et al. (2005) Current Genetics 48(1): 60-68	psolomon@murdoch.edu.au	PMK1 homologue. Transposon mutagenesis	Solomon et al.	2005			PHI-base Vers.3.3		Rres			Broad	SNOG_03299																				
Record 478	PHI:449	Uniprot	Q2PBY8	EMBL	CAI48090			T5	CDC42							5111	Claviceps purpurea	5111	20.1	Ergot	Monocots	4550	Secale cereale (related: Rye)					GTPase	"GO:0009405, IMP; GO:0044412"	GO		Reduced virulence		No	No	Yes													gene deletion; gene complementation			TKB; MU; AC	16002649	PubMed	10.1128/EC.4.7.1228-1238.2005	Scheffer et al.(2005) Eukaryotic Cell 4(7): 1228-1238	tudzyns@uni-muenster.de		Scheffer et al.	2005			PHI-base Vers.3.3		Rres																								
Record 479	PHI:450	Uniprot	Q5UB48	EMBL	AAV36564			H99	SKN7							5207	Cryptococcus neoformans	5207	H99	Cryptococcosis	Rodents	10090	Mus musculus (related: House mouse)					Transcription factor	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption; gene complementation			TKB; KHK	16041017	PubMed	10.1128/IAI.73.8.5022-5030.2005			More susceptible to reactive oxygen species in vitro and floccates in liquid culture.	Wormley et al.	2005			PHI-base Vers.3.3		Rres																								
Record 480	PHI:451	Uniprot	O74189	EMBL	AAC31119			CAF3-1	PMT1							5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Mannosyltransferase	"GO:0009405, IMP"	GO		Loss of pathogenicity 																	gene disruption; gene complementation			TKB	9694829	PubMed					Timpel et al.	1998			PHI-base Vers.3.3		Rres																								
Record 481	PHI:452	Uniprot	Q9UVB5	EMBL	AAF16867			1006	PMT6							5477	Candida albicans	5477	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Mannosyltransferase	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption; gene complementation			TKB	10809683 	PubMed					Timpel et al.	2000			PHI-base Vers.3.3		Rres																								
Record 482	PHI:453	Uniprot	Q5ACU3	EMBL	EAL00423 			SC5314	PMT5							5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Mannosyltransferase	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption; gene complementation			TKB	16040968	PubMed	10.1128/IAI.73.8.4571-4580.2005			Haematogenously disseminated candidiasis 	Rouabhia et al.	2005			PHI-base Vers.3.3		Rres																								
Record 483	PHI:453	Uniprot	Q5ACU3	EMBL	EAL00423 			SC5314	PMT5							5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Mannosyltransferase				Unaffected pathogenicity																	gene disruption			TKB	15659169	PubMed				Haematogenously disseminated candidiasis 	Prill et al.	2005			PHI-base Vers.3.3		Rres																								
Record 484	PHI:453	Uniprot	Q5ACU3	EMBL	EAL00423 			SC5314	PMT5							5476	Candida albicans	5476	CAI-4	Candidiasis	Primates	9606	Homo sapiens (related: Human)					Mannosyltransferase	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption; gene complementation			TKB	16040968	PubMed	10.1128/IAI.73.8.4571-4580.2005			Engineered human oral mucosa	Rouabhia et al.	2005			PHI-base Vers.3.3		Rres																								
Record 485	PHI:454	Uniprot	Q5ADM9	EMBL	EAL01044 			SC5314	PMT2							5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Mannosyltransferase	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption; gene complementation			TKB	16040968	PubMed	10.1128/IAI.73.8.4571-4580.2005								PHI-base Vers.3.3		Rres																								
Record 486	PHI:455	Uniprot	Q00523	EMBL	AAC13946				CAP59							5207	Cryptococcus neoformans	5207	B-3501	Cryptococcosis	Rodents	10090	Mus musculus (related: House mouse)					Capsule formation	"GO:0009405, IMP"	GO		Loss of pathogenicity 																	gene disruption; gene deletion; gene complementation			TKB; KHK	8007987	PubMed									PHI-base Vers.3.3		Rres																								
Record 487	PHI:455	Uniprot	Q00523	EMBL	AAC13946				CAP59							5207	Cryptococcus neoformans	178876	H99	Cryptococcosis	Moths	7137	Galleria mellonella (related: Greater wax moth)						"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption; gene deletion; gene complementation		AI	SH; KHK	15972469	PubMed	10.1128/IAI.73.7.3842-3850.2005			Tested in G.mellonella caterpillars in the final instar larval stage					PHI-base Vers.3.3		Rres																								
Record 488	PHI:455	Uniprot	Q00523	EMBL	AAC13946				CAP59							5207	Cryptococcus neoformans	178876	H99	Cryptococcosis	Flies	7227	Drosophila melanogaster (related: Fruit fly)						"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption; gene deletion; gene complementation		AI	SH; KHK	15075271	PubMed				Tested in Oregon-R flies					PHI-base Vers.3.3		Rres																								
Record 489	PHI:455	Uniprot	Q00523	EMBL	AAC13946				CAP59							5207	Cryptococcus neoformans	178876	H99	Cryptococcosis	Nematodes	6239	Caenorhabditis elegans (related: Roundworm)						"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption; gene deletion; gene complementation		AI	SH; KHK	12438649	PubMed	10.1073/pnas.232568599			Tested in C.elegans strain N2 Bristol					PHI-base Vers.3.3		Rres																								
Record 490	PHI:457	Uniprot	Q5A409	EMBL	EAK97437			SC5314	CHS2							5476	Candida albicans	5476	SGY243	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Chitin Synthase				Unaffected pathogenicity																	gene disruption			TKB	8016141; 8636047  	PubMed									PHI-base Vers.3.3		Rres																								
Record 491	PHI:458	Uniprot	O94196	EMBL	AAD18059			70-15	MHP1							318829	Magnaporthe oryzae			Rice blast	Monocots	4530	Oryza sativa (related: Rice)					Hydrophobin	"GO:0009405, IMP; GO:0044412, IMP; GO:0009847, IMP; GO:0030437, IMP"	GO		Reduced virulence		Yes	No	Yes		Reduced		Unaffected	Reduced								gene disruption; gene complementation			TKB; MU	16101997	PubMed	10.1111/j.1365-2958.2005.04750.x								PHI-base Vers.3.3		Rres																								
Record 492	PHI:459	Uniprot	Q99067	EMBL	CAA79218			"Uh112 (MAT-1, ade)"	UhbE1						PHI:460	120017	Ustilago hordei	120017		Barley smut	Monocots	112509	Hordeum vulgare subsp. vulgare (related: Domesticated barley)					Mating locus protein	"GO:0009405, IGI"	GO		Loss of pathogenicity 	No	No Data	No Data	No Data													gene disruption			TKB	8844149	PubMed				"Also disrupted in the MAT-2 strain, with the same pathogenicity defect."	Bakkeren et al.	1996			PHI-base Vers.3.3		Rres																								
Record 493	PHI:460	Uniprot	Q99071	EMBL	CAA79219			"Uh112 (MAT-1, ade)"	UhbW1						PHI:459	120017	Ustilago hordei	120017		Barley smut	Monocots	112509	Hordeum vulgare subsp. vulgare (related: Domesticated barley)					Mating locus protein	"GO:0009405, IGI"	GO		Loss of pathogenicity 	No	No Data	No Data	No Data													gene disruption			TKB	8844149	PubMed				"Also disrupted in the MAT-2 strain, with the same pathogenicity defect."	Bakkeren et al.	1996			PHI-base Vers.3.3		Rres																								
Record 494	PHI:461	Uniprot	P0CY23	EMBL	AAB38875			1066	CST20							5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Protein kinase	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption; gene complementation			TKB	8917571	PubMed				STE20 homologue					PHI-base Vers.3.3		Rres																								
Record 495	PHI:462	Uniprot	C4YLK8	EMBL	AAB59338 			WO1	HST7							5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Protein kinase				Unaffected pathogenicity																	gene disruption; gene complementation			TKB	8917571	PubMed				STE7 homologue					PHI-base Vers.3.3		Rres																								
Record 496	PHI:463	Uniprot	P02829	EMBL	AAA02743				HSP90							4932	Saccharomyces cerevisiae	4932			Rodents	10090	Mus musculus (related: House mouse)					Heat Shock Protein				Increased virulence (Hypervirulence)																	altered gene expression / gene regulation: overexpression			TKB; MU	9116640	PubMed				knockout is lethal					PHI-base Vers.3.3		Rres																								
Record 497	PHI:464	Uniprot	P87198	EMBL	AAB63336				KIN1							5270	Ustilago maydis	5270	"FB1, FB2"	Corn smut	Monocots	4577	Zea mays (related: Maize)					Kinesin				Unaffected pathogenicity																	gene disruption			TKB	9218789	PubMed									PHI-base Vers.3.3		Rres																								
Record 498	PHI:465	Uniprot	P87199	EMBL	AAB63337				KIN2							5270	Ustilago maydis	5270	"FB1, FB2"	Corn smut	Monocots	4577	Zea mays (related: Maize)					Kinesin	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption			TKB	9218789	PubMed				Post-mating defect					PHI-base Vers.3.3		Rres																								
Record 499	PHI:466	Uniprot	P49605	EMBL	AAA57470			518	UBC1							5270	Ustilago maydis	5270		Corn smut	Monocots	4577	Zea mays (related: Maize)					PKA regulatory subunit	"GO:0009405, IMP; GO:0044412"	GO		Reduced virulence		No	No	Yes													gene disruption			TKB	9338961; 11043465 	PubMed	10.1105/tpc.9.9.1585								PHI-base Vers.3.3		Rres																								
Record 500	PHI:467	Uniprot	P87090	EMBL	AAC16255			EP155	CPC1							5116	Cryphonectria parasitica	5116		Chesnut blight	Eudicots	134033	Castanea dentata (related: American chestnut)					General amino acid control transcription factor	"GO:0009405, IMP"	GO		Reduced virulence																	mutation			TKB; MU	9501479	PubMed	10.1006/fgbi.1997.1023			Constitutive transgenic expression of a DNA binding defective CPC1 led to reduced virulence.					PHI-base Vers.3.3		Rres																								
Record 501	PHI:468	Uniprot	Q6VBJ0	EMBL	AAQ82691				EPA1							5478	Candida glabrata	5478		Candidiasis	Primates	9606	Homo sapiens (related: Human)					Cell wall protein	"GO:0009405, IMP"	GO		Reduced virulence																	gene deletion			TKB; MU	10417386; 12406223	PubMed				Reduced adhesion to human epithelial cells					PHI-base Vers.3.3		Rres																								
Record 502	PHI:469	Uniprot	Q9UW18	EMBL	AAD47837			SB111	TOXG							5017	Cochliobolus carbonum	5017	164R10	Leaf spot	Monocots	4577	Zea mays (related: Maize)					Alanine racemase	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption; gene complementation			TKB; JA	10671527	PubMed									PHI-base Vers.3.3		Rres																								
Record 503	PHI:470	Uniprot	O42722	EMBL	AAC01955			JEC21	STE12alpha							5207	Cryptococcus neoformans	5207	B4500 (serotype D) and JEC21 (serotype D)	Cryptococcosis	Rodents	10090	Mus musculus (related: House mouse)					Transcription factor	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption; gene complementation			TKB; KHK	10704467; 9426132 	PubMed				Serotype D					PHI-base Vers.3.3		Rres																								
Record 504	PHI:471	Uniprot	C4YDI6	EMBL	AAB69764			WO1	CDC42							5476	Candida albicans	5476	BWP17	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Polarity establishment protein	"GO:0009405, IMP"	GO		Loss of pathogenicity 																	gene disruption			TKB	12582118	PubMed				GTPase	Bassilana et al.	2003			PHI-base Vers.3.3		Rres																								
Record 505	PHI:472	Uniprot	Q8NID8	EMBL	CAD16675			race 4	AVR2							5499	Cladosporium fulvum	5499		Leaf mould	Eudicots	4081	Solanum lycopersicum (related: Tomato)					Effector protein				Effector (plant avirulence determinant)																	mutation			TKB; MU	12139631; 15845874	PubMed	10.1126/science.1111404								PHI-base Vers.3.3		Rres																								
Record 506	PHI:473	Uniprot	Q572D3	EMBL	CAI72345				AVR3a							4787	Phytophthora infestans	4787		Late blight	Eudicots	4097	Nicotiana tabacum (related: Common tobacco)					Effector protein				Effector (plant avirulence determinant)																	other evidence			TKB; MU	15894622 	PubMed	10.1073/pnas.0500113102			Coexpression of Avr3a and R3a in N. benthamiana results in host cell death					PHI-base Vers.3.3		Rres																								
Record 507	PHI:474	Uniprot	P0CM54	EMBL	AAG13937				CNB1							5207	Cryptococcus neoformans	5207	jEC20 (Serotype D) and JEC21 (Serotype D) 	Cryptococcosis	Rodents	10090	Mus musculus (related: House mouse)					Calcineurin B regulatory subunit	"GO:0009405, IMP"	GO		Loss of pathogenicity 																	gene disruption; gene complementation			TKB; KHK	11251806	PubMed				Serotype D					PHI-base Vers.3.3		Rres																								
Record 508	PHI:475	Uniprot	Q9C1I3	EMBL	AAK15315				RFG1							5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Transcription regulator	"GO:0009405, IMP"	GO		Loss of pathogenicity 																	gene disruption			TKB	11259598	PubMed	10.1128/MCB.21.7.2496-2505.2001								PHI-base Vers.3.3		Rres																								
Record 509	PHI:476	Uniprot	Q9HFT9	EMBL	AAG30205				STE11alpha							5207	Cryptococcus neoformans	5207	WSA-7	Cryptococcosis	Rodents	10090	Mus musculus (related: House mouse)					MAP kinase kinase kinase	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption; gene complementation			TKB; KHK	11298287	PubMed				Serotype D minor reduction in virulence					PHI-base Vers.3.3		Rres																								
Record 510	PHI:477	Uniprot	Q59RB8	EMBL	EAK93039 			SC5314	ICL1							5476	Candida albicans	5476		Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Isocitrate lyase	"GO:0009405, IMP"	GO	Glyoxylate cycle	Reduced virulence																	gene deletion			TKB; MU	11452311	PubMed	10.1038/35083594			key paper					PHI-base Vers.3.3		Rres																								
Record 511	PHI:478	Uniprot	Q8X1S9	EMBL	AAL55095			521	HGL1							5270	Ustilago maydis	5270	"518,521"	Corn smut	Monocots	4577	Zea mays (related: Maize)					Transcription regulator				Unaffected pathogenicity																	gene disruption			TKB	11489122	PubMed				No teliospore production by the hgl1 mutant in planta					PHI-base Vers.3.3		Rres																								
Record 512	PHI:479	Uniprot	C5P3X6	EMBL	AAQ07436			C735	MEP1							199306	Coccidioides posadasii	199306	C735	Respiratory disease	Rodents	10090	Mus musculus (related: House mouse)					Metalloproteinase	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption; gene complementation			TKB; JA	16177346	PubMed	10.1128/IAI.73.10.6689-6703.2005			SOWgp-immune mice challenged with the MEP1 mutant show increased survival					PHI-base Vers.3.3		Rres																								
Record 513	PHI:480	Uniprot	Q59VH7	EMBL	EAK94461			SC5314	SAP7							5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Aspartyl proteinase				Unaffected pathogenicity																	gene disruption; gene complementation			TKB	16177393	PubMed				Vaginal infection 					PHI-base Vers.3.3		Rres																								
Record 514	PHI:480	Uniprot	Q59VH7	EMBL	EAK94461			SC5314	SAP7							5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Aspartyl proteinase	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption; gene complementation			TKB	16177393	PubMed				Intravenous infection					PHI-base Vers.3.3		Rres																								
Record 515	PHI:481	Uniprot	Q5D1P9	EMBL	AAX14039				KLAP1							27357	Colletotrichum acutatum	27357		Anthracnose	Eudicots	159033	Citrus aurantiifolia (related: Lime)					Transcription activator				Unaffected pathogenicity																	gene disruption; gene complementation			TKB; MU		Not in PubMed		Chen et al. (2005) MOLECULAR PLANT PATHOLOGY. 6(5) 513-525		Key lime flowers					PHI-base Vers.3.3		Rres																								
Record 516	PHI:481	Uniprot	Q5D1P9	EMBL	AAX14039				KLAP1							27357	Colletotrichum acutatum	27357		Anthracnose	Eudicots	159033	Citrus aurantiifolia (related: Lime)					Transcription activator	"GO:0009405, IMP; GO:0044409"	GO		Loss of pathogenicity 		No	Yes	No Data													gene disruption; gene complementation			TKB; MU		Not in PubMed		Chen et al. (2005) MOLECULAR PLANT PATHOLOGY. 6(5) 513-525		Key lime leaves					PHI-base Vers.3.3		Rres																								
Record 517	PHI:482	Uniprot	Q6TFC7	EMBL	AAR01218				LAEA							746128	Aspergillus fumigatus			Aspergillosis	Rodents	10090	Mus musculus (related: House mouse)					Transcription regulator	"GO:0009405, IMP"	GO		Reduced virulence																	gene deletion; gene complementation			TKB; MU	16151250	PubMed									PHI-base Vers.3.3		Rres																								
